seller_id,delivery_bucket,total_orders,good_reviews,bad_reviews,total_revenue
0df3984f9dfb3d49ac6366acbd3bbb85,Early,86,78,8,8167.74
c60b801f2d52c7f7f91de00870882a75,Early,31,21,7,8154.74
b4f8921fcc4ff77b66bea6dda43dcd51,Early,19,17,2,8152.42
cab85505710c7cb9b720bceb52b01cee,Early,199,170,9,8110.37
9d4db00d65d7760644ac0c14edb5fd86,Early,95,90,2,8073.36
c864036feaab8c1659f65ea4faebe1da,Early,54,52,0,8068.47
9d5a9018aee56acb367ba9c3f05d1d6a,Early,74,65,8,8048.54
adbc26658d6c7b4b6219f9d934598091,Early,75,66,7,8011.11
dd2bdf855a9172734fbc3744021ae9b9,Early,94,64,16,8001.72
33a6f4b1e7cdc205511e76ba1b6e0186,Early,120,105,10,7929.34
403aa86912527d730337ffcb0fb096ab,Early,10,8,1,7888.08
cfb1a033743668a192316f3c6d1d2671,Early,162,125,24,7850.45
bd23da7354813347129d751591d1a6e2,Early,83,68,10,7838.51
ccb83a794700270fde70898fe9ff368b,Early,10,9,0,7835.39
af4a0e4cfe1d9c26b6712b1be25a72e5,Early,24,14,8,7828.7
4869f7a5dfa277a7dca6462dcf3b52b2,Very Late,41,29,8,7777.69
5a8e7d5003a1f221f9e1d6e411de7c23,Early,165,134,14,7777.46
8fb791022c1fc8909664f48ab7dc636d,Early,5,4,1,7756.55
06df0c10d34e459d9672bc77388742eb,Early,27,24,1,7712.75
ce7d1888639e6fb06b2749cbfdac1ff7,Early,75,61,12,7696.17
f3b80352b986ab4d1057a4b724be19d0,Early,91,73,10,7688.84
95e03ca3d4146e4011985981aeb959b9,Early,185,134,25,7516.97
cb8bcce248bb1fb274ba762d8b971456,Early,63,56,3,7475.62
6039e27294dc75811c0d8a39069f52c0,Early,54,38,7,7466.76
23d7c96d4a1160db1c726b248601b25a,Early,43,34,5,7453.63
701938c450705b8ae65fc923b70f35c7,Early,102,71,15,7448.53
7b07b3c7487f0ea825fc6df75abd658b,Early,91,80,6,7437.47
e96498ed8daaa3e9c23f7a62da76591c,Early,28,25,2,7400.92
6c12e40690c335dbc2f68a4134d30dc1,Early,16,12,2,7393.08
17306570e772e7718c92a562d33f5f1d,Early,28,18,4,7391.66
b2ac621f0d0322434d04a12b078b9369,Early,26,25,0,7328.29
c9c7905cffc4ef9ff9f113554423e671,Early,122,106,9,7209.32
17ca9b9e9b9ef8fdb529001b49ebb50f,Early,125,91,18,7180.97
f262cbc1c910c83959f849465454ddd3,Early,185,150,22,7178.54000000001
6d803cb79cc31c41c4c789a75933b3c7,Early,62,53,2,7163.55
d03698c2efd04a549382afa6623e27fb,Early,20,19,1,7144.28
93dc87703c046b603023e75222018b45,Early,31,25,3,7141.5
066a6914e1ebf3ea95a216c73a986b91,Early,68,51,10,7139.96
6973a06f484aacf400ece213dbf3d946,Early,89,58,17,7130.74
512d298ac2a96d1931b6bd30aa21f61d,Early,12,10,2,7080.01
bbf9ad41dca6603e614efcdad7aab8c4,Early,14,13,1,7069.74
5f2684dab12e59f83bef73ae57724e45,Early,68,51,13,7067.0
f25e239052084705e17a982bc600ab2a,Early,8,7,1,6974.52
b1a81260566c1bac3114a6d124413f27,Early,53,44,8,6943.67
